topic,beta_D_real,5%_D_real,95%_D_real,beta_D_future,5%_D_future,95%_D_future,diff_mean,diff_5%,diff_95%,diff_excludes_zero
abortion,0.0613056,0.00428641,0.118422,-0.0275787,-0.0813616,0.025807,0.0888842227685778,0.013682665160999993,0.16653501364999998,True
affirmative action,-0.0183739,-0.14076,0.100651,-0.0132332,-0.117061,0.0888717,-0.005140682845581976,-0.166386265155,0.14971779356499995,False
animal rights,-0.00173802,-0.0599793,0.0577876,0.0436715,-0.0154401,0.102539,-0.04540953699887188,-0.13114826375,0.035826649664999974,False
barack obama,0.0546157,-0.0174335,0.127728,0.0303558,-0.0453525,0.107421,0.024259904016690002,-0.08095825265,0.128613201785,False
border fence,0.0642546,-0.0832561,0.211334,0.133057,-0.0178689,0.291813,-0.0688027051018535,-0.2988056001,0.14709685999999997,False
capitalism,0.0766324,-0.00184074,0.15319,-0.0466835,-0.117863,0.0253295,0.12331594218906874,0.017414868364999992,0.22805339744999997,True
civil unions,-0.0862049,-0.221486,0.0472256,0.0832847,-0.049287,0.220128,-0.1694896014954235,-0.363397669,0.013854360149999969,False
death penalty,0.00434718,-0.0709362,0.0783063,0.0510796,-0.0395069,0.142996,-0.04673240432110364,-0.17251182605,0.0754149664975,False
drug legalization,-0.084931,-0.165124,-0.0037265,-0.0685693,-0.156547,0.0166808,-0.016361673307501975,-0.12975889385,0.10164231599999997,False
electoral college,-0.00756256,-0.125059,0.110731,-0.0509019,-0.196548,0.0890913,0.04333930096794247,-0.14415049155,0.22661579294999998,False
environmental protection,-0.048723,-0.159124,0.059462,0.140317,0.00858081,0.278044,-0.18904044093499722,-0.36619712530000004,-0.013361069300000318,True
estate tax,0.283275,-0.271742,0.892856,0.0306756,-0.312519,0.380585,0.252599305977181,-0.41366125000000004,0.9417456308499997,False
european union,-0.299389,-0.816277,0.183247,-0.462702,-1.24017,0.0805411,0.16331309067565475,-0.6213622209499999,1.0723251226499992,False
euthanasia,-0.00153159,-0.131095,0.12501,0.109646,0.00295585,0.218909,-0.11117739992115043,-0.2784097775,0.058046255799999995,False
federal reserve,0.231625,-0.0487089,0.522741,-0.125929,-0.484962,0.21786,0.3575536582084289,-0.0957627274,0.8241184415,False
flat tax,0.372139,-0.173409,0.988812,-0.656277,-1.98186,0.544536,1.028415440597279,-0.3350710936000002,2.5114331144999977,False
free trade,0.257969,0.102517,0.421484,0.0249182,-0.12385,0.17387,0.233050327790064,0.015228607249999946,0.4532256095,True
gay marriage,-0.0238344,-0.0720056,0.0237376,0.00411589,-0.0361696,0.0452182,-0.027950260836768458,-0.09081826690000001,0.034573241464999994,False
global warming exists,0.0225918,-0.0538477,0.100343,0.0369345,-0.0321602,0.107206,-0.014342667596608748,-0.11889547805,0.09033954084999998,False
globalization,0.141262,-0.00242941,0.292835,0.253566,-0.0711122,0.592553,-0.11230488648621649,-0.48446633615,0.2506640847999999,False
gold standard,-0.133487,-0.589971,0.30894,-0.0283742,-1.66711,1.62673,-0.105113291771966,-1.8353031804,1.6014186016499996,False
gun rights,0.0797619,-0.00388227,0.164336,0.177475,0.067492,0.291818,-0.09771351796734999,-0.2405914074,0.04487439784999997,False
homeschooling,0.0349745,-0.129114,0.204272,0.126527,-0.0573053,0.314603,-0.09155213321030832,-0.34162330401,0.15617395799999992,False
internet censorship,0.0165189,-0.0835084,0.118647,-0.0239792,-0.126446,0.080571,0.040498099747381125,-0.1017127992,0.1787447725499999,False
iran-iraq war,0.908148,-0.0518124,2.07303,-0.00525292,-1.68608,1.66936,0.9134008869035909,-1.032651434,2.900225655499999,False
labor union,0.188976,-0.290062,0.698465,-0.275285,-0.868327,0.28547,0.46426110957563593,-0.27219497043,1.2217571904999998,False
legalized prostitution,0.085248,-0.0728869,0.247489,0.123647,-0.0368652,0.293488,-0.03839875200894407,-0.27083755935000003,0.18837135074999994,False
medicaid & medicare,-0.348362,-1.45054,0.758608,0.0114524,-1.64551,1.6972,-0.359814242452465,-2.421315605,1.6322756839999992,False
medical marijuana,0.0540129,-0.135509,0.239684,0.293983,-0.00229504,0.616041,-0.2399699921722875,-0.6136514606000001,0.11384200078499987,False
military intervention,0.018876,-0.0500082,0.0851123,-0.0491081,-0.114693,0.0165154,0.06798409142021462,-0.029264812725000013,0.16251976324999998,False
minimum wage,0.146886,0.0176843,0.278025,0.0810068,-0.0370759,0.209134,0.06587961865975686,-0.11633233255,0.2436039836849999,False
national health care,0.0743521,-0.019444,0.169671,-0.082682,-0.196641,0.0241211,0.15703411828221925,0.015734200450000006,0.3036490163499999,True
occupy movement,-0.640659,-2.0886,0.754124,-0.691835,-1.9101,0.313002,0.051176907986430493,-1.7621326354,1.9478861989999998,False
progressive tax,0.0690603,-0.137978,0.27016,0.187564,-0.0769741,0.489441,-0.118503562031277,-0.46985850990000005,0.2238403062,False
racial profiling,-0.0289553,-0.126539,0.0663704,0.0188081,-0.0875027,0.12682,-0.0477634707794085,-0.19234916355,0.09422539744999998,False
redistribution,-0.145517,-0.40748,0.118894,-0.0340851,-0.281419,0.215203,-0.11143178115652415,-0.4694873855,0.24306075024999999,False
smoking ban,0.105593,-0.0656884,0.283901,0.102126,-0.0690994,0.285957,0.0034670096245839983,-0.25190279565,0.2496339529999999,False
social programs,-0.0237291,-0.138666,0.0925883,-0.0187588,-0.136153,0.0969307,-0.00497028416325335,-0.16651993710000002,0.15569097225,False
social security,0.684049,0.0282321,1.38676,0.776027,-0.23039,1.94326,-0.09197753061921,-1.4345894561130004,1.138061171,False
socialism,0.0664062,-0.0512075,0.183198,-0.00706903,-0.133913,0.122831,0.07347524784426476,-0.10111746640000001,0.24386783794999978,False
stimulus spending,0.343219,-0.280938,1.02413,0.205593,-0.400017,0.825466,0.13762629067860074,-0.7488429230000002,1.0363315429999986,False
term limits,-0.338612,-0.632462,-0.0793718,0.10016,-0.362606,0.565766,-0.4387717193833293,-0.9914759845000001,0.10473179849999983,False
torture,0.0686652,-0.0765111,0.221335,-0.025246,-0.18771,0.134302,0.09391119348333075,-0.12408404370000002,0.31274302075,False
united nations,0.116303,-0.1898,0.426336,-0.567828,-1.02295,-0.174233,0.684131082038601,0.17594790709999997,1.2352799749999996,True
war in afghanistan,0.317995,-0.0806585,0.754182,0.329551,-0.108031,0.828615,-0.011556331564759749,-0.6497067280000001,0.6163154261999998,False
war on terror,-0.00997335,-0.159234,0.13912,-0.0722691,-0.211271,0.0645559,0.062295789667733005,-0.1403686551,0.26419475345,False
welfare,0.137835,0.0199415,0.258361,-0.137437,-0.271923,-0.0114952,0.2752719218814285,0.09768756369499997,0.45796814199999997,True
