,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
lp__,-41821.1,4.12474,128.282,133.991,-42026.6,-41823.4,-41610.4,972.209,1656.43,1.16341,1.00222
beta_D[1],-0.0275787,0.000524951,0.0325783,0.0325623,-0.0813616,-0.0275712,0.025807,3936.81,2743.81,4.71107,1.00477
beta_D[2],-0.0132332,0.0008728,0.0626446,0.0617593,-0.117061,-0.0131767,0.0888717,5203.23,2388.79,6.22655,1.00221
beta_D[3],0.0436715,0.000542515,0.0357581,0.0356629,-0.0154401,0.0437165,0.102539,4397.3,3057.41,5.26211,1.00086
beta_D[4],0.0303558,0.000721094,0.0461203,0.0455768,-0.0453525,0.0298875,0.107421,4166.86,2703.26,4.98636,1.00228
beta_D[5],0.133057,0.00148914,0.0951459,0.0950944,-0.0178689,0.132077,0.291813,4137.55,2500.6,4.95128,1.00166
beta_D[6],-0.0466835,0.000668672,0.0430294,0.0426089,-0.117863,-0.0466171,0.0253295,4205.63,2519.3,5.03276,1.00097
beta_D[7],0.0832847,0.00119363,0.0829292,0.0828624,-0.049287,0.082222,0.220128,4848.06,2945.74,5.80153,1.00081
beta_D[8],0.0510796,0.000910687,0.0556424,0.0553694,-0.0395069,0.0507986,0.142996,3756.06,2656.11,4.49477,1.00049
beta_D[9],-0.0685693,0.00083055,0.0525726,0.0535336,-0.156547,-0.0680322,0.0166808,4031.14,2822.53,4.82394,1.00139
beta_D[10],-0.0509019,0.0012778,0.0874232,0.0904384,-0.196548,-0.0493295,0.0890913,4753.68,2928.62,5.68858,1.00214
beta_D[11],0.140317,0.00126014,0.081944,0.0815171,0.00858081,0.137122,0.278044,4365.62,2549.78,5.2242,1.00082
beta_D[12],0.0306756,0.00312885,0.212368,0.202211,-0.312519,0.0281615,0.380585,4736.7,2293.18,5.66826,1.00399
beta_D[13],-0.462702,0.00787606,0.408882,0.378227,-1.24017,-0.395056,0.0805411,3569.71,2010.58,4.27176,1.00008
beta_D[14],0.109646,0.00101961,0.0654776,0.0664423,0.00295585,0.108793,0.218909,4183.74,2650.52,5.00656,1.00151
beta_D[15],-0.125929,0.00344166,0.220259,0.210459,-0.484962,-0.119482,0.21786,4147.88,2833.37,4.96365,1.00063
beta_D[16],-0.656277,0.0117264,0.781368,0.760738,-1.98186,-0.623813,0.544536,4541.69,2560.85,5.4349,1.0032
beta_D[17],0.0249182,0.00146779,0.0904907,0.0906559,-0.12385,0.0257552,0.17387,3818.16,2418.62,4.56908,1.00304
beta_D[18],0.00411589,0.000377363,0.0250857,0.0251922,-0.0361696,0.00370585,0.0452182,4454.13,2991.64,5.33012,1.00041
beta_D[19],0.0369345,0.000586159,0.0421092,0.0416134,-0.0321602,0.0366742,0.107206,5214.5,2870.23,6.24004,0.999597
beta_D[20],0.253566,0.00323723,0.205751,0.20309,-0.0711122,0.247329,0.592553,4194.18,2937.37,5.01905,1.00271
beta_D[21],-0.0283742,0.0146743,1.00177,1.00194,-1.66711,-0.0267017,1.62673,4646.31,2723.35,5.5601,0.999853
beta_D[22],0.177475,0.00114677,0.0684536,0.0682605,0.067492,0.174885,0.291818,3630.56,2015.45,4.34459,1.00155
beta_D[23],0.126527,0.00171563,0.112297,0.109925,-0.0573053,0.121499,0.314603,4458.35,3098.94,5.33518,1.00152
beta_D[24],-0.0239792,0.000948654,0.0622751,0.061045,-0.126446,-0.0252503,0.080571,4332.48,2799.45,5.18455,1.00025
beta_D[25],-0.00525292,0.0160087,1.02422,1.01933,-1.68608,-0.0271816,1.66936,4135.36,2542.74,4.94866,1.00151
beta_D[26],-0.275285,0.00510128,0.347259,0.325151,-0.868327,-0.267816,0.28547,4713.85,2588.97,5.64093,1.00091
beta_D[27],0.123647,0.00145011,0.101226,0.102697,-0.0368652,0.121435,0.293488,4931.44,2612.79,5.90131,1.00197
beta_D[28],0.0114524,0.0145732,1.01439,1.01104,-1.64551,0.0184022,1.6972,4856.35,2422.53,5.81145,1.0013
beta_D[29],0.293983,0.00265298,0.188883,0.178159,-0.00229504,0.287787,0.616041,4953.0,2433.15,5.92711,1.00129
beta_D[30],-0.0491081,0.000592871,0.0396775,0.0385871,-0.114693,-0.0488199,0.0165154,4493.46,2458.85,5.37719,1.00203
beta_D[31],0.0810068,0.0011182,0.0750528,0.0735692,-0.0370759,0.0778429,0.209134,4661.9,1866.89,5.57876,1.00033
beta_D[32],-0.082682,0.000989166,0.0671821,0.0665789,-0.196641,-0.0823922,0.0241211,4664.82,2690.85,5.58225,1.00355
beta_D[33],-0.691835,0.0115041,0.690933,0.667547,-1.9101,-0.610783,0.313002,4150.17,2185.43,4.96639,1.00026
beta_D[34],0.187564,0.0027975,0.172629,0.162566,-0.0769741,0.176183,0.489441,4029.08,2201.83,4.82148,1.00068
beta_D[35],0.0188081,0.00100712,0.065233,0.0658543,-0.0875027,0.0177649,0.12682,4218.86,2794.08,5.04859,1.00071
beta_D[36],-0.0340851,0.00221617,0.149925,0.143221,-0.281419,-0.0352337,0.215203,4661.42,2662.56,5.57819,1.00131
beta_D[37],0.102126,0.00175834,0.108979,0.108536,-0.0690994,0.100425,0.285957,3963.24,2723.66,4.7427,1.002
beta_D[38],-0.0187588,0.00119838,0.0718034,0.0728041,-0.136153,-0.0177871,0.0969307,3647.37,2584.18,4.3647,1.00349
beta_D[39],0.776027,0.0112204,0.687262,0.678816,-0.23039,0.716698,1.94326,4162.06,2559.58,4.98061,1.00216
beta_D[40],-0.00706903,0.00112904,0.0776747,0.0781208,-0.133913,-0.0082663,0.122831,4769.39,2755.78,5.70739,1.0036
beta_D[41],0.205593,0.00540195,0.369206,0.347013,-0.400017,0.199423,0.825466,4886.16,2545.98,5.84712,1.00132
beta_D[42],0.10016,0.00440914,0.283468,0.278454,-0.362606,0.0963319,0.565766,4169.72,2607.08,4.98978,1.0001
beta_D[43],-0.025246,0.00155699,0.0984362,0.0944955,-0.18771,-0.0224769,0.134302,4045.87,2900.74,4.84158,0.999945
beta_D[44],-0.567828,0.00446679,0.261936,0.254557,-1.02295,-0.54637,-0.174233,3971.12,2578.3,4.75212,1.00058
beta_D[45],0.329551,0.00466096,0.281754,0.266729,-0.108031,0.311186,0.828615,3873.92,2601.58,4.63581,1.00022
beta_D[46],-0.0722691,0.00119833,0.0830431,0.0808983,-0.211271,-0.0708404,0.0645559,4873.35,2897.64,5.83179,1.00138
beta_D[47],-0.137437,0.00118551,0.0794882,0.0797999,-0.271923,-0.136232,-0.0114952,4497.88,2628.1,5.38248,1.00001
gamma_no_prior,-0.00252001,0.00026103,0.0133167,0.0129424,-0.0244094,-0.00248102,0.0196128,2632.45,2804.2,3.15017,1.00282
alpha_user_raw[1],-0.384707,0.00987858,0.641689,0.649911,-1.40136,-0.384468,0.661455,4272.69,3086.51,5.113,1.00048
alpha_user_raw[2],0.249299,0.0153487,0.984225,0.97922,-1.38196,0.252608,1.83651,4150.73,2708.02,4.96705,1.00334
alpha_user_raw[3],-0.0269243,0.0125426,0.89273,0.884572,-1.47597,-0.036229,1.45869,5105.28,2622.86,6.10934,1.00184
alpha_user_raw[4],0.195762,0.0130878,0.864601,0.85294,-1.23785,0.194414,1.60796,4409.97,2530.32,5.27728,1.00054
alpha_user_raw[5],0.229065,0.0138126,0.98675,0.969317,-1.41917,0.233325,1.86112,5144.24,2410.73,6.15596,0.999709
alpha_user_raw[6],0.634164,0.0120164,0.834702,0.814486,-0.75093,0.64046,2.01521,4921.51,2734.46,5.88942,1.00148
alpha_user_raw[7],0.237645,0.0141782,0.971133,0.980881,-1.37687,0.244981,1.83961,4700.17,2913.98,5.62456,1.00133
alpha_user_raw[8],-0.210882,0.0145433,0.940435,0.958695,-1.72164,-0.228793,1.34674,4216.53,2896.83,5.0458,1.00058
alpha_user_raw[9],-0.218758,0.0143229,0.981773,0.965851,-1.79616,-0.239179,1.43365,4711.78,2613.84,5.63844,1.00144
alpha_user_raw[10],-0.38993,0.0132713,0.891916,0.887099,-1.84377,-0.39247,1.06229,4568.88,2683.7,5.46745,1.00152
alpha_user_raw[11],0.259089,0.0135559,0.951498,0.993548,-1.26658,0.250602,1.82996,4981.58,2597.3,5.96131,1.00083
alpha_user_raw[12],0.799683,0.014082,0.909092,0.913132,-0.708211,0.808341,2.26126,4217.88,2875.04,5.04742,1.00066
alpha_user_raw[13],0.223037,0.0150099,0.977724,0.972139,-1.40475,0.221478,1.82809,4275.09,2783.25,5.11587,1.00305
alpha_user_raw[14],-0.225137,0.0146492,0.960074,0.981816,-1.83283,-0.244472,1.3793,4411.3,2776.01,5.27887,0.99999
alpha_user_raw[15],-0.174195,0.0135154,0.869517,0.867592,-1.62316,-0.15048,1.26028,4137.1,2807.34,4.95074,1.00036
alpha_user_raw[16],-0.239781,0.013408,0.942236,0.940212,-1.78887,-0.226359,1.28746,4972.68,3055.99,5.95066,1.00055
alpha_user_raw[17],0.43969,0.0139322,0.928891,0.938605,-1.09034,0.438061,1.97151,4430.83,2890.9,5.30224,1.00142
alpha_user_raw[18],0.435165,0.0138731,0.937502,0.934517,-1.06638,0.429536,1.97365,4599.57,2264.46,5.50417,1.00187
alpha_user_raw[19],-0.202619,0.0137029,0.977552,0.976883,-1.79391,-0.200947,1.40565,5142.23,2905.6,6.15355,1.00111
alpha_user_raw[20],-0.00836488,0.012956,0.886111,0.884655,-1.45443,-0.0305775,1.48019,4679.3,2996.49,5.59958,1.00028
alpha_user_raw[21],0.221706,0.0127487,0.949706,0.96216,-1.29777,0.210842,1.79907,5598.7,2717.49,6.69979,1.00099
alpha_user_raw[22],0.233357,0.0154883,0.958158,0.947422,-1.36955,0.24753,1.80222,3834.44,2603.97,4.58856,0.999537
alpha_user_raw[23],-1.014,0.0028538,0.166261,0.16493,-1.28822,-1.01547,-0.736053,3460.43,2763.56,4.141,1.00066
alpha_user_raw[24],-0.230988,0.0130993,0.940341,0.939962,-1.76719,-0.224353,1.35111,5230.72,2730.74,6.25945,1.0008
alpha_user_raw[25],0.231857,0.014831,0.945268,0.934879,-1.34581,0.226227,1.76475,4120.51,2994.9,4.9309,1.0018
alpha_user_raw[26],-0.450792,0.0147115,0.963277,0.991346,-2.01666,-0.457105,1.15139,4328.97,2884.42,5.18035,1.00139
alpha_user_raw[27],-0.353819,0.0124384,0.863649,0.87447,-1.77966,-0.345441,1.08258,4969.73,2632.94,5.94712,1.0029
alpha_user_raw[28],-1.06735,0.0117628,0.790167,0.804133,-2.36284,-1.08029,0.222971,4572.6,2305.78,5.47189,1.0011
alpha_user_raw[29],0.369118,0.0130646,0.856342,0.871576,-1.0369,0.36604,1.76539,4298.02,2009.35,5.14331,1.00147
alpha_user_raw[30],-0.298816,0.0118686,0.801832,0.808119,-1.60966,-0.310908,1.01337,4588.63,2618.31,5.49108,1.0029
alpha_user_raw[31],0.0047344,0.0128385,0.955985,0.922477,-1.58133,-0.00119398,1.57817,5681.27,2793.25,6.7986,1.00237
alpha_user_raw[32],-0.204735,0.0130322,0.916837,0.94971,-1.69809,-0.216823,1.29809,4981.76,2979.43,5.96153,1.00095
alpha_user_raw[33],-0.865921,0.0115516,0.773861,0.756082,-2.14159,-0.862226,0.409803,4586.85,2480.95,5.48895,1.00133
alpha_user_raw[34],-1.13141,0.0108245,0.719206,0.705618,-2.36721,-1.12323,0.0460918,4523.98,2251.57,5.41371,1.00366
alpha_user_raw[35],-0.608303,0.00486472,0.319233,0.311262,-1.14067,-0.606682,-0.102994,4346.4,2784.65,5.2012,1.00048
alpha_user_raw[36],-0.257628,0.0138342,0.918984,0.918564,-1.79328,-0.266489,1.2277,4429.62,2230.9,5.3008,1.00198
alpha_user_raw[37],-0.82616,0.0124911,0.87127,0.873604,-2.27303,-0.826798,0.59104,4920.19,2464.97,5.88785,1.0009
alpha_user_raw[38],-1.98693,0.00688501,0.445483,0.442778,-2.75329,-1.98044,-1.25862,4260.6,2525.97,5.09854,1.00185
alpha_user_raw[39],-0.606391,0.0116835,0.791957,0.801316,-1.915,-0.608031,0.676972,4602.09,2963.95,5.50719,1.00128
alpha_user_raw[40],-0.232935,0.0138495,0.948394,0.975282,-1.75668,-0.221564,1.338,4732.49,2987.77,5.66323,1.00089
alpha_user_raw[41],0.00864391,0.0104776,0.67211,0.668783,-1.12012,0.0244668,1.10941,4161.51,2880.57,4.97995,1.00118
alpha_user_raw[42],-0.443763,0.0145078,0.915947,0.898235,-1.92973,-0.440808,1.02598,4114.44,2666.89,4.92363,1.00206
alpha_user_raw[43],0.440408,0.0140025,0.944729,0.943132,-1.14142,0.45211,1.9839,4542.09,2928.18,5.43538,1.00052
alpha_user_raw[44],0.433449,0.0143992,0.935394,0.906003,-1.11342,0.431422,1.9882,4245.66,2452.53,5.08066,1.00088
alpha_user_raw[45],0.243834,0.0143485,0.990534,1.02491,-1.36008,0.220632,1.85963,4810.12,2178.28,5.75613,1.00051
alpha_user_raw[46],0.637943,0.0136737,0.911088,0.905642,-0.882732,0.619257,2.13,4495.38,2825.61,5.37948,1.00085
alpha_user_raw[47],0.211625,0.0139866,0.991105,0.990986,-1.37555,0.207653,1.83995,5067.11,2592.81,6.06366,1.00239
alpha_user_raw[48],0.447143,0.0136158,0.925304,0.929256,-1.0843,0.454098,1.95644,4671.49,3055.47,5.59024,1.0026
alpha_user_raw[49],-0.52686,0.0134418,0.871143,0.899187,-1.95832,-0.534604,0.890084,4244.23,2797.77,5.07895,1.00285
alpha_user_raw[50],0.239524,0.0155347,0.970986,0.948744,-1.38031,0.22392,1.83444,3932.64,2922.97,4.70607,1.0014
alpha_user_raw[51],0.430684,0.0134156,0.92098,0.939587,-1.08509,0.424161,1.92249,4748.97,2682.34,5.68295,1.00085
alpha_user_raw[52],0.430237,0.0139191,0.948009,0.945976,-1.12025,0.419288,1.98334,4683.65,2944.75,5.60478,1.0013
alpha_user_raw[53],-0.141773,0.0121672,0.822412,0.807074,-1.50487,-0.144324,1.22268,4596.12,2614.58,5.50004,1.00133
alpha_user_raw[54],0.016733,0.0130849,0.914155,0.901531,-1.48652,0.0242246,1.52878,4923.8,2399.87,5.89217,1.00069
