,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
lp__,-41811.6,3.60701,124.389,125.643,-42014.3,-41811.9,-41605.7,1194.32,1830.6,1.37945,1.00172
beta_D[1],0.0613056,0.00050776,0.034711,0.0336608,0.00428641,0.0609879,0.118422,4701.25,2602.55,5.42998,1.00087
beta_D[2],-0.0183739,0.00104918,0.0744266,0.075592,-0.14076,-0.0176064,0.100651,5019.34,2679.81,5.79738,1.00102
beta_D[3],-0.00173802,0.000515578,0.0361055,0.0351847,-0.0599793,-0.00118748,0.0577876,4975.35,2895.16,5.74656,1.00242
beta_D[4],0.0546157,0.000626198,0.0438658,0.0440437,-0.0174335,0.0537983,0.127728,4987.56,3005.96,5.76067,1.00013
beta_D[5],0.0642546,0.00129284,0.0902752,0.0914856,-0.0832561,0.0644748,0.211334,4961.67,2932.31,5.73077,1.00234
beta_D[6],0.0766324,0.000655296,0.0474533,0.0473545,-0.00184074,0.0762468,0.15319,5389.1,2651.91,6.22445,1.00006
beta_D[7],-0.0862049,0.00113868,0.0805355,0.0807005,-0.221486,-0.0859303,0.0472256,5047.22,2602.2,5.82957,0.999808
beta_D[8],0.00434718,0.000613969,0.0461126,0.0454887,-0.0709362,0.00517724,0.0783063,5712.13,3114.22,6.59755,1.0004
beta_D[9],-0.084931,0.000665861,0.0486597,0.0472575,-0.165124,-0.0849109,-0.0037265,5381.96,2872.45,6.21621,1.00178
beta_D[10],-0.00756256,0.000982078,0.0710898,0.0711598,-0.125059,-0.0083651,0.110731,5280.39,2869.93,6.0989,1.00182
beta_D[11],-0.048723,0.00094289,0.066166,0.0647842,-0.159124,-0.0492258,0.059462,5045.84,2826.18,5.82798,1.00112
beta_D[12],0.283275,0.00492824,0.353963,0.335416,-0.271742,0.272541,0.892856,5347.98,2276.86,6.17696,1.00265
beta_D[13],-0.299389,0.00450788,0.305534,0.29474,-0.816277,-0.288963,0.183247,4759.35,2697.51,5.49709,1.0007
beta_D[14],-0.00153159,0.00114649,0.0776955,0.0770724,-0.131095,-0.00214811,0.12501,4660.88,2903.83,5.38336,1.00217
