,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
lp__,-43417.8,3.57042,127.448,126.583,-43631.3,-43417.5,-43209.4,1277.87,1780.09,1.02866,1.00242
beta_D[1],0.0920065,0.000531635,0.0394797,0.0396635,0.027706,0.0916321,0.157886,5583.38,2557.41,4.49449,1.00111
beta_D[2],-0.00725316,0.00079031,0.0558604,0.0554162,-0.097941,-0.00815674,0.084103,4986.41,2742.77,4.01395,1.00128
beta_D[3],0.0576285,0.000719554,0.0507111,0.0520526,-0.0228785,0.0581776,0.138887,5016.45,2902.88,4.03813,1.00195
beta_D[4],-0.0187345,0.00100834,0.0738414,0.0746624,-0.140319,-0.0174874,0.0999721,5484.82,2971.17,4.41516,1.00008
beta_D[5],0.0859142,0.00202412,0.139987,0.138642,-0.138951,0.0844157,0.320745,4887.43,2515.57,3.93428,1.00206
beta_D[6],-0.00931974,0.00114071,0.0809685,0.0829399,-0.142967,-0.00959562,0.120925,5071.82,3132.62,4.08271,0.999679
beta_D[7],-0.0143965,0.00453014,0.306141,0.295418,-0.509829,-0.014528,0.499962,4594.67,3070.8,3.6986,1.00217
beta_D[8],-0.01205,0.000610709,0.0418908,0.0415123,-0.0793922,-0.012553,0.0569208,4742.65,2363.23,3.81773,1.00093
beta_D[9],-0.0913716,0.000788939,0.0546646,0.054929,-0.18206,-0.0914362,-0.0020888,4841.68,2935.34,3.89745,1.00022
beta_D[10],-0.0410964,0.00108429,0.0777358,0.0763199,-0.171211,-0.0403427,0.0858043,5190.66,2511.38,4.17837,0.999885
beta_D[11],-0.11051,0.00152553,0.100154,0.0975015,-0.280866,-0.111418,0.0519057,4370.9,3061.57,3.51848,0.999534
beta_D[12],-0.166981,0.00737925,0.477716,0.458017,-0.977656,-0.15339,0.584098,4401.93,2635.64,3.54346,1.0002
beta_D[13],-0.166381,0.00356137,0.217995,0.215918,-0.531679,-0.154522,0.169912,4007.34,2808.56,3.22582,0.999348
beta_D[14],0.0184825,0.00135099,0.0872075,0.0869246,-0.125617,0.0185911,0.159982,4234.25,2681.34,3.40848,1.00113
beta_D[15],-0.112806,0.00259633,0.167991,0.167385,-0.392598,-0.109703,0.153622,4275.0,2430.15,3.44128,1.0026
beta_D[16],-0.289733,0.00385273,0.248778,0.245964,-0.700429,-0.289095,0.115022,4210.2,2722.23,3.38912,1.00105
beta_D[17],0.0604924,0.00288369,0.198582,0.196888,-0.26501,0.0619841,0.382782,4795.44,2873.9,3.86022,1.00357
beta_D[18],-0.037815,0.000545256,0.0383673,0.0382617,-0.100344,-0.0380923,0.0256167,5022.54,2680.25,4.04303,1.00086
beta_D[19],0.034535,0.000896853,0.0651297,0.0634849,-0.0745391,0.0334392,0.143287,5363.26,2250.49,4.31731,1.00079
beta_D[20],0.114159,0.00215066,0.148277,0.145559,-0.122723,0.110469,0.365309,5006.83,2535.46,4.03039,1.00248
beta_D[21],-0.659826,0.00730667,0.3935,0.382085,-1.36768,-0.625707,-0.0818289,3297.59,2225.93,2.65449,1.00174
beta_D[22],0.0349842,0.000766209,0.0543568,0.0545212,-0.054243,0.0347584,0.124226,5063.81,2904.44,4.07626,1.00181
beta_D[23],0.069035,0.0010679,0.0728559,0.0707686,-0.049547,0.068127,0.190902,4633.72,2559.17,3.73005,1.00071
beta_D[24],0.017547,0.000775988,0.0562225,0.0542874,-0.0784322,0.018909,0.109665,5312.85,3165.39,4.27673,1.00051
beta_D[25],0.132308,0.00138136,0.100651,0.102508,-0.032937,0.131214,0.294065,5366.15,2827.97,4.31963,1.00032
beta_D[26],-0.197097,0.0078661,0.462578,0.461803,-0.967192,-0.183758,0.526106,3562.45,2681.59,2.8677,1.00027
beta_D[27],0.0325084,0.00131466,0.0912924,0.0910483,-0.117368,0.0324341,0.182749,4884.56,2894.87,3.93196,0.999687
beta_D[28],0.230735,0.00314054,0.214502,0.213114,-0.113151,0.225959,0.583659,4685.71,2947.26,3.7719,1.00084
beta_D[29],0.178101,0.00149476,0.102491,0.103664,0.00958659,0.175736,0.348405,4787.18,2208.19,3.85358,1.00171
beta_D[30],0.00380601,0.00112326,0.0779613,0.0778676,-0.12572,0.00356878,0.131661,4903.26,2822.86,3.94702,1.00115
beta_D[31],0.107842,0.00142938,0.104711,0.104381,-0.0597759,0.106799,0.286087,5431.21,2684.44,4.372,1.00061
beta_D[32],0.099852,0.00160702,0.111883,0.110294,-0.0830504,0.0965769,0.284504,4969.51,2585.47,4.00035,1.00021
beta_D[33],0.261507,0.00407863,0.264629,0.256548,-0.153491,0.253146,0.708875,4365.44,2837.74,3.51408,1.00243
beta_D[34],-0.0561774,0.00402522,0.248525,0.246746,-0.469073,-0.051785,0.330009,3953.39,2490.44,3.18239,0.999825
beta_D[35],0.0586222,0.00159924,0.110387,0.108022,-0.121973,0.0551289,0.242989,4878.65,2678.9,3.92721,0.999782
beta_D[36],0.161138,0.00139134,0.0961809,0.0940377,0.00872166,0.15763,0.32626,4937.49,2506.12,3.97457,1.00003
beta_D[37],0.167697,0.0028397,0.18534,0.181782,-0.125164,0.159943,0.488888,4343.68,2965.15,3.49657,1.00049
beta_D[38],0.065424,0.00109556,0.0789641,0.0796334,-0.0632124,0.0656113,0.196038,5315.5,2752.62,4.27886,1.00033
beta_D[39],0.189883,0.00245497,0.175423,0.170301,-0.0924435,0.185199,0.482315,5198.88,2670.29,4.18499,1.00143
beta_D[40],0.305543,0.0128489,0.74776,0.754629,-0.921818,0.303523,1.51884,3392.89,2703.24,2.7312,1.001
beta_D[41],-0.0108869,0.00150484,0.108156,0.10556,-0.186295,-0.0114951,0.16747,5269.85,2420.98,4.24212,1.00009
beta_D[42],0.0506833,0.00166902,0.114268,0.114571,-0.139535,0.0519515,0.236444,4771.05,2843.28,3.84059,1.00065
beta_D[43],-0.228285,0.00225059,0.16288,0.16279,-0.495572,-0.225986,0.0376895,5335.27,2961.71,4.29477,1.00045
beta_D[44],0.0881846,0.00137991,0.0946166,0.0936521,-0.068012,0.0875045,0.244833,4730.92,3065.9,3.80828,0.999894
