,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
lp__,-43412.3,3.80363,126.432,125.028,-43620.3,-43413.9,-43199.5,1139.67,1422.78,0.898893,1.00387
beta_D[1],0.0922151,0.000560958,0.0393579,0.0398464,0.0262762,0.0919751,0.156771,4960.94,2763.07,3.91286,1.00321
beta_D[2],-0.00209051,0.000827315,0.0542611,0.0535228,-0.0875472,-0.00298072,0.0904743,4334.54,2552.67,3.41879,1.00004
beta_D[3],0.073527,0.000743644,0.051158,0.0513694,-0.0102345,0.0730114,0.157225,4769.94,2878.6,3.76221,1.00118
beta_D[4],0.00858932,0.000993201,0.0704003,0.0716591,-0.104356,0.0072928,0.125989,5132.75,2826.97,4.04836,1.00039
beta_D[5],0.073621,0.00190631,0.12991,0.133064,-0.13672,0.0745661,0.286459,4638.43,2475.22,3.65848,1.00107
beta_D[6],-0.00261325,0.00116142,0.0810312,0.0804809,-0.135109,-0.00222519,0.131167,4867.91,3168.2,3.83948,1.00055
beta_D[7],-0.0444666,0.0046499,0.28366,0.279227,-0.496744,-0.0584822,0.435603,3886.81,2433.98,3.06566,1.00046
beta_D[8],-0.0123966,0.000538294,0.0410138,0.0397195,-0.0813777,-0.012106,0.0545803,5872.8,2916.8,4.63207,1.00282
beta_D[9],-0.0856615,0.000801942,0.0548002,0.0562076,-0.175374,-0.0853298,0.00395562,4682.57,2953.6,3.6933,1.00287
beta_D[10],-0.0428842,0.00111301,0.0791163,0.0740672,-0.175982,-0.0427109,0.0882315,5101.35,2560.9,4.0236,1.0002
beta_D[11],-0.119232,0.00139151,0.0910637,0.0903959,-0.273977,-0.118898,0.0306726,4272.46,2839.91,3.36983,1.00001
beta_D[12],-0.0853298,0.00684093,0.433153,0.413229,-0.815569,-0.0715762,0.610794,4133.22,2549.14,3.26001,1.00196
beta_D[13],-0.13812,0.00309829,0.196379,0.189927,-0.464449,-0.132486,0.179252,4057.73,2331.21,3.20046,0.999825
beta_D[14],0.000228216,0.00130898,0.0882083,0.0879595,-0.146315,0.000974877,0.144061,4585.76,2660.88,3.61693,1.00158
beta_D[15],-0.105135,0.00247821,0.163867,0.161317,-0.38231,-0.103478,0.159314,4450.74,2297.37,3.51044,1.00003
beta_D[16],-0.307347,0.00352159,0.237738,0.233646,-0.704996,-0.303587,0.0692675,4617.49,2615.11,3.64196,1.00014
beta_D[17],0.0468569,0.00300727,0.195194,0.1982,-0.268396,0.0453507,0.372193,4238.25,2639.51,3.34284,1.00095
beta_D[18],-0.0408472,0.00054462,0.0383305,0.0384065,-0.103179,-0.041192,0.0236875,4983.09,3052.17,3.93033,1.00068
beta_D[19],0.03444,0.00101322,0.0645237,0.064538,-0.0695451,0.0336977,0.141978,4179.73,2453.06,3.29669,1.00197
beta_D[20],0.125046,0.00216343,0.152047,0.152929,-0.122116,0.123304,0.379387,4992.22,2989.32,3.93752,1.00152
beta_D[21],-0.46943,0.00405424,0.270636,0.268563,-0.93275,-0.462671,-0.0482263,4536.8,2822.06,3.57832,1.00189
beta_D[22],0.0335816,0.000802299,0.0537919,0.0542076,-0.0522066,0.032661,0.124188,4487.8,2851.2,3.53967,1.00034
beta_D[23],0.0659167,0.000998395,0.0696188,0.0691971,-0.0450551,0.0629015,0.18174,4936.92,2924.65,3.89391,1.00109
beta_D[24],0.0157035,0.0008639,0.0581192,0.0573868,-0.0807077,0.0145336,0.111407,4474.49,3015.84,3.52918,1.00117
beta_D[25],0.114639,0.00140237,0.0954199,0.0934922,-0.0429014,0.113398,0.274153,4682.6,2907.17,3.69332,1.00007
beta_D[26],0.0799897,0.00526313,0.342256,0.330142,-0.481021,0.0793435,0.640715,4289.66,2687.75,3.38339,1.0028
beta_D[27],0.0555924,0.00125064,0.0886649,0.0889028,-0.0898555,0.054668,0.204104,5075.0,2741.92,4.00281,1.00194
beta_D[28],0.169421,0.00298814,0.200691,0.195074,-0.161034,0.168944,0.505573,4583.6,2997.73,3.61523,1.00121
beta_D[29],0.175784,0.00144463,0.0951576,0.0923981,0.0180361,0.174752,0.332511,4411.34,2903.04,3.47937,0.999795
beta_D[30],0.00276434,0.00121113,0.0793722,0.0790657,-0.125124,0.00317467,0.135835,4300.76,2833.78,3.39215,1.00098
