topic,mean_delta,ci_5,ci_95,p_tau_gt_c,OR_tau,OR_tau_ci_5,OR_tau_ci_95,OR_tau_unstable,OR_c,OR_c_ci_5,OR_c_ci_95,OR_c_unstable,class
abortion,-0.532588800505,-0.610354498,-0.4555498785,0.0,7.184339442129124,5.518979118506448,9.112704413486355,False,4.288289308567103,3.8500107388965,4.759060533653983,False,persuasiveness-driven
affirmative action,-0.73628765266475,-0.975308534,-0.5042443025,0.0,14.165048982961842,4.807125052699472,31.444133341831908,False,7.104208945878101,5.178080154923938,9.507279705200492,False,persuasiveness-driven
animal rights,-0.897227481576125,-0.9943373189,-0.801647965,0.0,2.015638842437149,1.3989389963304568,2.7952570653448703,False,5.332648335663383,4.720064910244584,6.027301818793446,False,persuasiveness-driven
barack obama,-1.0041263786771504,-1.141823757415,-0.8701602455,0.0,1.5412670124589958,0.8223504293222827,2.541495016794153,False,5.8155140739015225,4.9321102806796375,6.806987055704776,False,persuasiveness-only
border fence,-0.7427058721109409,-0.9770677259,-0.5206094760000002,0.0,3.164948392160684,1.3214973601877305,5.976598521551947,False,4.6849201848189095,3.408032295118039,6.270251206483834,False,persuasiveness-driven
capitalism,-0.8928045722564999,-1.0504460255,-0.7412295555000002,0.0,5.8734480036100125,3.153700493257381,9.763351152660857,False,7.219830381285504,5.928865403622699,8.76003496996865,False,persuasiveness-driven
civil unions,-1.4067458593426878,-1.672681958,-1.1474156205,0.0,1.0077478657444237,0.3253034870883661,2.238100353650159,False,9.721321737200634,7.081991954023311,13.129177948958146,False,persuasiveness-only
death penalty,-0.6565971933008,-0.76917544865,-0.5442941385,0.0,1.9681216143563347,1.3300835407973273,2.7609861712902077,False,3.571783504772551,3.06735489727502,4.142122890823166,False,persuasiveness-driven
drug legalization,-0.2141584163675,-0.3468121709999999,-0.0820978415,0.0025,26.50447778081873,15.502668904737172,41.14157322875517,False,3.725003354349175,3.118695643017017,4.3883405967186,False,persuasiveness-driven
electoral college,-1.0647101918719373,-1.311210815,-0.8260615992500001,0.0,0.7766816354607607,0.2439471700369219,1.7305257561295069,False,5.103220416842341,3.870480341670552,6.680202634102767,False,persuasiveness-only
environmental protection,-0.7648684094696501,-0.953886041,-0.5853781470000001,0.0,3.567092988717882,1.71179703995905,6.383393205915672,False,5.034959362043357,3.966100804016059,6.270175782565755,False,persuasiveness-driven
estate tax,-0.2030223774916525,-1.1277894670000002,0.6714512049999999,0.36175,9048.480089795,2.3617277077671868,15760.488233882494,True,8.016644143805836,2.328102524746013,19.84318449266892,False,jointly-driven
european union,-0.4228362055517112,-1.1156646267,0.2506076589999996,0.1605,5.362478478301549,0.2382142110359082,20.29733452224033,False,3.0063590286717456,0.9904653610674318,6.715302268476334,False,indeterminate
euthanasia,-0.4922534350925,-0.683256294,-0.3056142375,0.00025,22.653960678996985,9.491952610697457,43.70875640467994,False,5.532472570178019,4.274494431594247,7.056737299315363,False,persuasiveness-driven
federal reserve,-0.7559121987877917,-1.21484988785,-0.3165628980000002,0.002,5.286225533170755,0.5853943048858875,17.28211789049844,False,5.086526730701488,2.913829362574885,8.249868776410016,False,persuasiveness-only
