,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
lp__,-37231.9,3.65372,121.689,121.429,-37425.4,-37233.1,-37029.4,1111.17,1594.38,0.995071,1.00369
beta_D[1],0.0937661,0.000665945,0.0440586,0.0432224,0.0223845,0.093687,0.166578,4399.38,2683.86,3.93971,1.00098
beta_D[2],0.0103877,0.0015134,0.101898,0.100384,-0.158714,0.0101799,0.179512,4626.14,2675.12,4.14278,1.00049
beta_D[3],-0.0224666,0.000651253,0.0463377,0.0462591,-0.0991835,-0.022137,0.0529544,5038.28,2996.72,4.51185,1.00041
beta_D[4],0.086601,0.000788857,0.055492,0.0552529,-0.00397623,0.0863779,0.178312,4977.12,2992.51,4.45709,0.999817
beta_D[5],0.14127,0.00165977,0.113474,0.110812,-0.0426954,0.141374,0.328187,4771.16,2085.37,4.27265,1.00516
beta_D[6],-0.0151368,0.00106281,0.0695349,0.0716892,-0.127111,-0.0143968,0.0995466,4421.08,2773.33,3.95915,1.00004
beta_D[7],-0.131035,0.00181551,0.129347,0.131367,-0.348013,-0.129784,0.0748557,5127.61,3028.76,4.59185,0.999949
beta_D[8],-0.0191193,0.000823676,0.0557498,0.0557908,-0.111094,-0.018098,0.0715835,4692.73,2866.44,4.20241,1.00224
beta_D[9],-0.00224602,0.000817833,0.0573559,0.0574997,-0.0972698,-0.000397427,0.0903447,5002.07,2801.7,4.47943,1.00061
beta_D[10],0.0522621,0.00132937,0.093219,0.0938052,-0.102436,0.0516663,0.204436,4942.96,2525.15,4.42649,1.00252
beta_D[11],-0.048705,0.00113469,0.0802156,0.0808672,-0.182718,-0.0486598,0.0842971,5050.43,3090.45,4.52274,1.0008
beta_D[12],-0.1968,0.00691118,0.441017,0.44417,-0.946487,-0.178752,0.498621,4134.14,2797.57,3.70219,0.999974
beta_D[13],-0.0846061,0.00536992,0.340544,0.327555,-0.658556,-0.0713839,0.457956,4160.57,2478.18,3.72585,1.00158
beta_D[14],-0.0634407,0.00157997,0.105017,0.10343,-0.241229,-0.062757,0.108543,4465.7,2922.32,3.9991,1.00013
beta_D[15],0.322555,0.0031265,0.227864,0.230362,-0.0358167,0.312304,0.706682,5406.57,2822.63,4.84167,1.00028
beta_D[16],0.345263,0.00635012,0.393224,0.373247,-0.256613,0.322029,1.04499,4099.32,2796.52,3.671,1.00052
beta_D[17],0.233693,0.00176971,0.127448,0.123468,0.028555,0.23125,0.446453,5321.97,2993.77,4.76591,1.00171
beta_D[18],-0.0562754,0.000536974,0.0378085,0.0382808,-0.119992,-0.0558994,0.00503809,5028.52,2631.44,4.50311,1.00011
beta_D[19],0.0377244,0.00100735,0.06975,0.0710826,-0.0785976,0.0376877,0.153261,4806.16,3005.29,4.30399,1.00031
beta_D[20],0.229235,0.0017547,0.126491,0.12382,0.0285003,0.226994,0.443028,5210.95,2966.32,4.66649,1.00101
beta_D[21],-0.310436,0.00460152,0.325047,0.315092,-0.834777,-0.315628,0.220465,5061.53,2462.76,4.53267,1.00056
beta_D[22],0.045046,0.000912131,0.0618157,0.0627909,-0.0593033,0.0455438,0.14589,4601.13,2761.55,4.12038,0.999998
beta_D[23],-0.0176104,0.00164441,0.114134,0.110315,-0.206069,-0.0170661,0.172753,4817.1,2959.2,4.31379,1.00193
beta_D[24],0.0730873,0.00108659,0.0793626,0.0785702,-0.0559387,0.0724601,0.203721,5352.68,2643.31,4.79341,1.00072
beta_D[25],1.01016,0.00991803,0.674711,0.666873,-0.00986796,0.94905,2.18346,5027.3,2650.18,4.50202,1.00352
beta_D[26],-0.0160345,0.00519563,0.351123,0.334059,-0.585682,-0.0229664,0.559588,4638.59,2571.7,4.15393,1.00202
beta_D[27],0.107267,0.00180108,0.129879,0.132286,-0.101778,0.105005,0.321679,5255.19,2651.13,4.7061,1.0013
beta_D[28],-0.250531,0.0112928,0.76503,0.741568,-1.54546,-0.23059,0.992804,4509.93,3136.41,4.03871,1.00052
beta_D[29],0.118339,0.00211354,0.147303,0.151071,-0.119197,0.113481,0.364522,4923.05,2681.87,4.40866,1.00054
beta_D[30],0.056586,0.000756193,0.0549969,0.055744,-0.034436,0.0565661,0.146672,5335.63,3013.08,4.77814,1.0004
beta_D[31],0.129633,0.00154589,0.105355,0.107266,-0.0442352,0.128672,0.302912,4686.9,2939.1,4.19719,1.0023
beta_D[32],0.0491566,0.00107063,0.078067,0.0788782,-0.0748783,0.0470969,0.178636,5388.51,2971.25,4.82549,1.00023
beta_D[33],-0.360379,0.0127786,0.916586,0.935475,-1.86166,-0.366836,1.14193,5174.48,3160.33,4.63382,1.0002
beta_D[34],0.0340802,0.00216049,0.142853,0.142076,-0.19733,0.0310803,0.273731,4555.55,2846.47,4.07956,1.00068
beta_D[35],-0.0503023,0.000993559,0.0730688,0.0734773,-0.174389,-0.0503662,0.0693561,5390.7,2732.08,4.82745,0.99964
beta_D[36],-0.0463572,0.00282884,0.19246,0.190051,-0.363331,-0.0458104,0.270011,4633.98,2843.1,4.1498,1.00009
