,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
lp__,-40995.6,3.68152,124.499,123.802,-41196.0,-40998.1,-40786.7,1151.48,1693.14,1.37699,1.00129
beta_tau[1],0.36014,0.000346385,0.0263754,0.0265146,0.317029,0.359906,0.403445,5879.76,3008.1,7.03131,0.999395
beta_tau[2],0.417875,0.00122724,0.0886617,0.0900913,0.271964,0.416174,0.564989,5277.71,2988.34,6.31134,1.001
beta_tau[3],0.116617,0.000550173,0.0366064,0.0380579,0.0574309,0.116906,0.178057,4421.29,2811.19,5.28719,1.00229
beta_tau[4],0.0655601,0.000825969,0.0560525,0.0569855,-0.0248317,0.0653182,0.155976,4630.36,2796.83,5.53721,0.999577
beta_tau[5],0.128278,0.00106132,0.0795233,0.081275,-0.00156352,0.129285,0.258322,5680.04,2818.49,6.79247,1.00285
beta_tau[6],0.331609,0.000857686,0.0580402,0.0563949,0.236787,0.332148,0.426938,4664.56,2587.44,5.5781,1.00245
beta_tau[7],0.0192303,0.0011822,0.0897905,0.0910545,-0.125298,0.0183716,0.169847,5794.16,3066.1,6.92894,0.999708
beta_tau[8],0.126171,0.000537085,0.0388301,0.0385716,0.061816,0.126598,0.189323,5276.73,2749.98,6.31017,1.00099
beta_tau[9],0.569999,0.000653716,0.0497937,0.0495105,0.488991,0.569631,0.652008,5843.92,2823.77,6.98844,1.00151
beta_tau[10],-0.0939796,0.00123803,0.0999684,0.0958105,-0.257021,-0.0952691,0.0730493,6584.9,2913.08,7.87455,1.00297
beta_tau[11],0.200308,0.000889926,0.065941,0.0657368,0.0927738,0.200125,0.309833,5486.99,2834.06,6.56162,1.00184
beta_tau[12],0.721079,0.00619225,0.437271,0.421706,0.0149266,0.711274,1.44304,5072.68,2520.34,6.06615,1.00139
beta_tau[13],0.175401,0.0031575,0.234889,0.231801,-0.205029,0.174458,0.558014,5618.78,2888.69,6.71921,1.00165
beta_tau[14],0.48274,0.000981202,0.0755158,0.0754434,0.358639,0.482478,0.610777,5941.2,2432.08,7.10478,1.00583
beta_tau[15],0.222086,0.00268402,0.18287,0.185459,-0.0750377,0.224101,0.517957,4647.04,2392.41,5.55716,0.999649
beta_tau[16],0.43437,0.00436601,0.316285,0.316467,-0.0742894,0.43031,0.953649,5283.81,2786.39,6.31863,1.00382
beta_tau[17],0.0235292,0.00211734,0.15212,0.151892,-0.226995,0.0210163,0.273215,5189.11,2879.69,6.20539,1.00149
